Request Id,Request Definition,CampaignId,Hashtag,SeedTweets,ExpandedTweets,HashtagTweets,UserCount,Organized,Other
20170319231711863f617f02d-16c9-4760-a909-e01615cb55c7,podestaemails15Bucket_BC,podestaemails15,podestaemails15,1337,214750,2061,605,ORGANIZED,POLITICAL	TRUMP	
2017031923211640536a15f8d-445f-464a-acb4-ec0f3ad2024c,podestaemails20Bucket_BC,PodestaEmails20161031,podestaemails20,816,51747,1036,148,ORGANIZED,POLITICAL	TRUMP	
201703192321482872f025a2e-95e8-4027-9ac4-2ffcc0d03138,podestaemails14Bucket_BC,podestaemails14,podestaemails14,1878,121326,1947,487,ORGANIZED,POLITICAL	TRUMP	
2017031923340547b458cabe-600e-487a-9442-709d14ea4e07,podestaemails14Bucket_BC,podestaemails14,podestaemails14,1804,120665,1827,491,ORGANIZED,POLITICAL	TRUMP	
20170319233712315b225e250-3aaf-472c-92ca-c283bc00ed93,podestaemails14Bucket_BC,podestaemails14,podestaemails14,1641,119285,1868,471,ORGANIZED,POLITICAL	TRUMP	
20170319234205583d34c29c6-3dfb-4299-9d84-8f9436d3fb4d,podestaemails14Bucket_BC,podestaemails14,podestaemails14,1790,124749,2248,483,ORGANIZED,POLITICAL	TRUMP	
20170319234409930b0af51a-2c49-4f7f-960b-39c50b876f24,podestaemails14Bucket_BC,podestaemails14,podestaemails14,1511,131829,1784,573,ORGANIZED,POLITICAL	TRUMP	
20170319234742669e3b20f1d-98da-4171-91ba-91acc8b7ccb0,podestaemails14Bucket_BC,podestaemails14,podestaemails14,1663,125104,1866,503,ORGANIZED,POLITICAL	TRUMP	
20170320230838687c571a552-521b-406f-8cb8-65448a711582,draintheswampBucket,TrumpSupporters_20161110,draintheswamp,5076,1090482,25186,1524,ORGANIZED,POLITICAL	TRUMP	
20170320232638267233a4400-0358-46ef-8f8e-3cde9978f3c9,crookedhillaryBucket_BC,TrumpSupporters_20161110,crookedhillary,3501,429109,8701,948,ORGANIZED,POLITICAL	TRUMP	
2017032023275069968e9ecc2-08c1-45bd-9ac9-b851e37ee1fb,podestaemails_BC,podestaemails,podestaemails,1711,94955,3294,597,ORGANIZED,POLITICAL	TRUMP	
20170320233448441412c5759-54d9-4aab-8851-a587c1e23bc2,crookedhillaryBucket_BC,TrumpSupporters_20161110,crookedhillary,4009,674734,8394,1107,ORGANIZED,POLITICAL	TRUMP	
201703202334506493f90722c-9013-4b0f-b1d8-7faf5532bc87,draintheswampBucket_BC,TrumpSupporters_20161110,draintheswamp,3992,706323,17872,1077,ORGANIZED,POLITICAL	TRUMP	
20170320234506528e895470e-89fb-4850-963a-6740b5ad21ee,podestaemails_BC,podestaemails,podestaemails,1521,89734,2554,560,ORGANIZED,POLITICAL	TRUMP	
2017032023464471360e2239c-0788-42e3-b738-e1d7d679cc8e,crookedhillaryBucket_BC,TrumpSupporters_20161110,crookedhillary,3833,603563,6489,1031,ORGANIZED,POLITICAL	TRUMP	
20170320234834697a0d9e57e-d02f-45fd-9db0-e9e4c20aab4d,podestaemails_BC,podestaemails,podestaemails,1355,77889,2416,472,ORGANIZED,POLITICAL	TRUMP	
20170321003648490330fc575-55b4-438a-966e-35b6ed9a2976,podestaemails_BC,podestaemails,podestaemails,1499,83021,2499,485,ORGANIZED,POLITICAL	TRUMP	
20170321011445948d970e8ee-6e6f-455b-94c7-a275ba5bef4f,crookedhillaryBucket_BC,TrumpSupporters_20161110,crookedhillary,3803,564297,8165,1003,ORGANIZED,POLITICAL	TRUMP	
2017040915521365851342113-3ef1-417f-869a-1c0fdfc26942,AmericaFirstBC,HillarySupportersElectionDay,americafirst,1980,293567,2898,712,ORGANIZED,POLITICAL	TRUMP	
201704091554175608aa2b590-8409-4093-85e1-983d38917480,AmericaFirstBC_BC,HillarySupportersElectionDay,americafirst,1957,345208,1703,615,ORGANIZED,POLITICAL	TRUMP	
20170409155433696bbbedf77-4d80-4e7f-b233-65a7af07b347,AmericaFirstBC_BC,HillarySupportersElectionDay,americafirst,1465,284997,2722,609,ORGANIZED,POLITICAL	TRUMP	
201704091554543031d08f6b3-7c7b-4164-a2c7-0160477a9461,AmericaFirstBC_BC,HillarySupportersElectionDay,americafirst,1494,291175,2459,566,ORGANIZED,POLITICAL	TRUMP	
20170409155455859e6993546-5d0e-4fb0-b6ab-17499e1866de,AmericaFirstBC_BC,HillarySupportersElectionDay,americafirst,1591,312199,2869,579,ORGANIZED,POLITICAL	TRUMP	
20170409155457281f3187b88-e0c4-40ec-afea-00057095f41c,AmericaFirstBC_BC,HillarySupportersElectionDay,americafirst,1592,322940,3138,579,ORGANIZED,POLITICAL	TRUMP	
2017040915545899056ae88f4-4d91-4969-8b35-46ed4edf8bc6,AmericaFirstBC_BC,HillarySupportersElectionDay,americafirst,1523,307848,2974,606,ORGANIZED,POLITICAL	TRUMP	
2017040915550083e606d56e-1d6c-42de-82c1-f0959f3774ac,AmericaFirstBC_BC,HillarySupportersElectionDay,americafirst,1633,315517,2958,594,ORGANIZED,POLITICAL	TRUMP	
20170409155502389451d1af3-982b-4e0d-a4b3-bc45bf156f4a,AmericaFirstBC_BC,HillarySupportersElectionDay,americafirst,1601,332791,3253,603,ORGANIZED,POLITICAL	TRUMP	
2017040915550519227e86b15-88aa-4e5d-bda3-a4bd502e9430,AmericaFirstBC_BC,HillarySupportersElectionDay,americafirst,1702,320518,3255,660,ORGANIZED,POLITICAL	TRUMP	
2017040915550682352e324c3-85d0-4aea-926b-d3939b163a1f,AmericaFirstBC_BC,HillarySupportersElectionDay,americafirst,1621,306646,2748,627,ORGANIZED,POLITICAL	TRUMP	
