hashtag,UserFriendFollowerRatiosMV_friendFollowerRatio_average,UserFriendFollowerRatiosMV_friendFollowerRatio_population_variance,UserFriendFollowerRatiosMV_friendFollowerRatio_population_standard_deviation,UserFriendFollowerRatiosMV_friendFollowerRatio_minValue,UserFriendFollowerRatiosMV_friendFollowerRatio_maxValue
ДваГодаБез,0.33599540939513645,0.03802532632731531,0.19500083673491073,0.0,1.0
Хватитторговаться,0.5902055965863793,0.04531437631975785,0.21287173678005694,0.09820944112859468,0.9089563286454478
новыйгод,0.5032133018050456,0.06321434541720294,0.2514246316835384,0.11332684824902724,0.9948880380089409
спекулянты,0.4170725274859213,0.019830764537059408,0.14082174738675632,0.09863013698630137,0.9483262918427039
BenGarrison,0.539392344922413,0.02479856827403609,0.15747561168014584,0.24857535861662408,0.916080637599625
Blacktwitter,0.512951075870307,0.010068575070915976,0.1003422895439205,0.2215591197314435,0.7104421322019059
mad,0.43415069955687074,0.02440351406596622,0.15621624136422635,0.08656716417910448,0.7411764705882353
ООН,0.4857427047224563,0.05665608999723595,0.23802539779871382,0.0,1.0
горячеепитание,0.41764431580815287,0.027187855761427748,0.16488740328305176,0.1324435318275154,0.9148336153412295
51,0.7852712714876867,0.03366631714625383,0.1834838334738345,0.4991335498245256,0.9999193541883402
7,0.7135408940600709,0.04916533844420196,0.22173258318118688,0.14679107874374148,0.9999193541883402
HurtAfilm,0.5451490224740676,0.001166449111542837,0.034153317723800085,0.502327464076098,0.6460961898813242
MetrojetCrash,0.8565484320454055,0.07104243823171945,0.26653787391610867,0.1710914454277286,0.9983038785434706
MyTransformationLooksLike,0.520679073526209,0.004982606021807229,0.07058757696512347,0.43867192165293206,0.6671306955078439
Phoenix,0.6019623690696988,0.018767703350765306,0.13699526762178796,0.435976195047034,0.9120477928974444
Senate,0.582319904735707,0.018136382965376105,0.13467138881505641,0.3292488012786361,0.9120477928974444
Soros,0.4916870696784746,0.04430415980095918,0.210485533471921,0.0965583173996176,0.9843918191603875
TakeASongFishing,0.4954388692085694,0.012451535265850654,0.11158644750080833,0.25488372093023254,0.6764783749308045
USMC,0.5131482051475463,0.014383429321658066,0.11993093563237997,0.18867395570507428,0.9120477928974444
ВсёДляНауки,0.40297373050077906,0.029032584310633287,0.17038950763070268,0.09863013698630137,0.9519923187710033
Иркутск,0.6423630737117973,0.03865256222815797,0.19660254888520132,0.29185867895545314,0.9979812809689851
МаршСпасенияДетейДонбасса,0.4701385225690042,0.048352488447275806,0.21989199268567242,0.09863013698630137,0.9782102272727272
НевскиеНовости,0.4346673396002543,0.04149896561347737,0.20371294905694476,0.09680284191829484,0.9989403973509934
бейпервым,0.3292267600769853,0.03224024091181717,0.17955567635643593,0.10365853658536585,0.8370267774699908
BillWarnerPhD,0.49705676710971053,0.003997855059698213,0.06322859368749406,0.20004133085348214,0.6035375323554789
Christian,0.5356416734095933,0.009740159557605326,0.09869224669448622,0.20004133085348214,0.9120477928974444
Independents,0.5066274347745293,0.009773822581073097,0.0988626450236544,0.20004133085348214,0.9120477928974444
